Bruciedog wrote a review Sep 2016,50,"Mumbai - Kochi (Cochin)
Domestic
Economy","Mumbai - Kochi (Cochin)
Domestic
Economy","Mumbai - Kochi (Cochin)
Domestic
Economy",Stylish new budget airline,"Vistara really met our needs for our holiday to Kerala, because all their service is top quality while still competing with the domestic Indian low cost airlines. They fly domestic services from the new T2 terminal in Mumbai airport which suited my wife and I having flown in from London and Bahrain respectively. Very few of my Indian colleagues at work had heard of this new airline, but I felt confident that the partnership between Singapore Airlines and Tata would be a winner and it most certainly is."
ankit d wrote a review Sep 2016,50,"New Delhi - Lucknow
Domestic
Premium Economy","New Delhi - Lucknow
Domestic
Premium Economy","New Delhi - Lucknow
Domestic
Premium Economy",Vistara Truly is a 5 star airline,"I once again flew them for thr 4th time on delhi to Lko sector and as always it was amazing.

They have seperate check in with blue carpets for Premium economy pax,Prior boarding,Pillows on every Premium economy seat,welcome drink options,Legroom of 33-36 inch which was amazing,Priority bag tag blue colour and their ground staff takes this business seriously cause everytime i fly Premium Economy my Priority blue tag bag comes right after biz pax golden priority bags,They amazing crew was very helpful and also we were served hot towels right before landing just like Biz pax,We were given a hot meal even for this 1 hour flight.

Just an amazing airline and definately the most unique in India..I cant wait for them to fly international and also they should add IFE soon."
arjunonholiday1980 wrote a review Sep 2016,40,"Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy",Very good service!,"Was flying in from Mumbai to Delhi, flight was 2 hours late! The airline did not sms us or have any clear communication to inform passengers the flight was running late! However service on flight was great, attention to detail..."
T R wrote a review Sep 2016,50,"Mumbai - Bengaluru
Domestic
Economy","Mumbai - Bengaluru
Domestic
Economy","Mumbai - Bengaluru
Domestic
Economy",TRAVELLED FROM MUMBAI TO BANGALORE,"It was a wonderful experiences of the cost of the travel is less they also serve dinner and coffee,tea in the flight.
Inspite of other flights for the same destination charging 100/- for a coffee.
the seats are comfortable even in the middle of the two seats also.
it is a very good experience.
quality of the food served is also good.
i hope people will enjoy travelling with this flight."
RahulJha wrote a review Sep 2016,50,"Bengaluru - New Delhi
Domestic
Economy","Bengaluru - New Delhi
Domestic
Economy","Bengaluru - New Delhi
Domestic
Economy",Vistara: A new dawn in Indian Airlines,"I am a frequent flier for Jet, Spice and Indigo( LCCs) and most of my flights have been to Delhi , Mumbai, Kolkata. Vistara was a new player in teh LCC segment and I decided to give it a try considering the Singapore Airline( Prekium Airline, which has collaboration with many airlines like Silk Airways) and Tata.

The flight experience was quite good. 4 Ratings for a LCCs price range flight. Delicious meal( though very limited) was served during flight( as it was inclusive in the cost). The best part of the journey was all the seats had much larger leg space compared to Spice and Indigo. I am a 6' 1'' feet guy and I always find it difficult to sit in the Spice/Jet/Indigo.

Apart from the aromatic fragrance in the air craft, the staff was courteous and this gave me a premium feeling during the journey, even though I was traveling in the economy class."
Sohil S wrote a review Sep 2016,40,"Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy","Mumbai - New Delhi
Domestic
Economy",Fly with comfort,"Tried Vistara for the first time, Very comfortable seating and pleasant ambiance. They try the best to make you feel very important and taken care of. The most important thing i liked was the uniform. Decent - Smart - Elegant, i had to write an email specially to appreciate the same. It took my attention to that extent."
jadeb wrote a review Sep 2016,10,"New Delhi - Varanasi
Domestic
Business Class","New Delhi - Varanasi
Domestic
Business Class","New Delhi - Varanasi
Domestic
Business Class",Terrible cancelled two flights and did not inform us and say takes 10 days before refund can be given,"Absolutely abysmal customer service.

They cancelled two flights for which we had business class tickets described on them as ""Confirmed and Guaranteed"". After we had booked they cancelled both flights and failed to tell us. It was only by complete chance that I noticed the day before we were to leave England that these flights were not on their schedule checker any more.

I rang their call centre in India and was told that both flights had been cancelled. I asked how they had informed us and they said by text. When I said no such text had been received despite them having the correct number on the booking he suggested it might be because it was a UK mobile phone number. No email confirmation of cancellation had been received despite them having correct email address.

Despite having cancelled both flights they had kept the money I had paid them.

I obviously asked for the full refund and they said that it would take ten days before this could be enacted because it was an international credit card. Interestingly there was no such delay when paying for the tickets.

Astoundingly bad service which could have completely ruined my trip if I had not noticed problem by chance."
SujitShodangi wrote a review Sep 2016,50,"Bengaluru - New Delhi
Domestic
Economy","Bengaluru - New Delhi
Domestic
Economy","Bengaluru - New Delhi
Domestic
Economy",Still room for improvement,"On 8th Sep i was returning from B'lore. I choose Vistara as i am a vistara club member(silver). This was second time i was flying with vistara. As i requested for Aisle seat i was given the same immediately. Staff are friendly. Ofcourse better than go air and Indigo.

I wanted to rate them excellent but due to two reason i can't.

1. During boarding process even though i had silver membership and there was separate queue, i was asked to wait by the ground staff. As i was not in hurry i waited for few min and then again asked showing my boarding pass again. Got a reply that ""I haven't seen you, or you might have shown the boarding pass to other"" though i was standing next to him for few minutes.
See in service industry first impression is last impression.

2. The second spoiler was dinner. I already had disgusting experience in premier plaza lounge. When food was served i asked for veg. It was not up the mark. I just had to satisfy myself with curd.

I hope they read my feedback and improve."
Avinash Kotni wrote a review Sep 2016,30,"New Delhi - Bhubaneswar
Domestic
Premium Economy","New Delhi - Bhubaneswar
Domestic
Premium Economy","New Delhi - Bhubaneswar
Domestic
Premium Economy",Nice Flight.. Staff needs training,"Took the early morning flight from DEL to BBI after reaching DEL from the USA. Booked Premium Economy as I had 2 Checked-In baggages.

At DEL airport, I could not find any pointers/boards regarding the check-in counter opening time. The Check-in had Air-India uniforms probably this was outsourced to Air-India. How can a airline outsource a people dependent job to Air-India staff.

The process at gate was smooth. Seeing the Air-hostesses one gets the feeling that they are freshers and this is their first airline cabin job. The person who was making the announcement spoke Hindi with an heavy English Accent. The hindi announcement on Swiss Airlines flight was more genuine that Vistara's.

Food was good. The flight was quiet and take-off was smooth. Landing was relatively smooth considering the weather conditions at BBI."
randeeparora1 wrote a review Sep 2016,50,"Bengaluru - New Delhi
Domestic
Economy","Bengaluru - New Delhi
Domestic
Economy","Bengaluru - New Delhi
Domestic
Economy",A breath of fresh air,Excellent addition to the Indian skies...focused on service...hope they add a lot of new flights....soonest
