TravelingHannu wrote a review May 2018,40,New Delhi - Bengaluru,Domestic,"New Delhi - Bengaluru
Domestic
Economy",What you can expect from an Indian airline,"Vistara operates a modern fleet of airplanes and provides a high standard of service both on the flights and at the airports.
Vistara is a joint alliance between Tata and Singapore Airlines, so Singapore Airlines card holders will get some benefits. Unfortunately none of the airlines operating on domestic routes in India are part of any of the global alliances, so no tier benefits are available for Oneworld, Sky Team or Star Alliance frequent fliers on any airlines."
Clifford_Lobo wrote a review May 2018,40,Mumbai - New Delhi,Domestic,"Mumbai - New Delhi
Domestic
Economy",Super Service,"1) Good Service , great costume with the attendants , super food , nice packaging and and in all a good time . The crew team was brilliant"
Anoop Shekhawat wrote a review May 2018,50,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Economy","As there tag line says ""Fly the new feeling""","Being in travel industry I bet that Vistara is the best airlines by far at present in India. They outshined Jet fair & square.

I am astonished to experience the support & assistance of their team for our foreign tourist groups as well as to individuals. Striking fleet, delightful food and heart-warming crew. Every damn thing is streamlined.

I mean not even a single time you feel unattended. If your flight is delayed, you get regular update on your phone via text, and when it comes to recompense you with a meal while your flight is delay it’s just not a 250 ml bottle of water and a burger or wrap, it’s a Pizza from Pizza hut :D

Thanks to Vistara team – Tarun (Airport Manager-IGI T3) & team for all your support.."
990biswajits wrote a review May 2018,40,New Delhi - Mumbai,Domestic,"New Delhi - Mumbai
Domestic
Economy",well behaved and helpful staff,nothing exceptional as one would expect since singapore airlines is associated. The announcements inside the aircraft need much improvement if you compare to Emirates where every word is clearly audible
blaise c wrote a review May 2018,50,New Delhi - Goa,Domestic,"New Delhi - Goa
Domestic
Premium Economy",Continue to excel,"As a Jet Platinum, i avoid any other airline as i am used to the lounge /upgrade facilities. Recently offered a gold card on Vistara I used it as it offered lounge. The experience was great, what a wonderful full service airline. The Premium economy has great leg room and good food and attentive service. The lounge too is very good, The only one with a recliner according to me, where you can sleep nicely."
GLORIA JOSEPH wrote a review May 2018,50,New Delhi - Chennai,Domestic,"New Delhi - Chennai
Domestic
Economy",Very good airlines..,"This is one of the top airlines currently with top class services, wider seats, free meals served piping hot, excellent service by the crew, in case we require cushion for our lower back or blanket if we are feeling cold we need to just ask. And punctual on departures and arrivals. Except for their high pricing, which I am willing to pay for these comforts. Great going, keep it up !"
Travel-Explore wrote a review May 2018,50,New Delhi - Kolkata,Domestic,"New Delhi - Kolkata
Domestic
Economy",First Time travel - my seat promoted from Economy to Premium Economy & an excellent service,"First time travel by Vistara, my seat from economy was promoted to Premium Economy as complimentary. Excellent service by Air Hostess with each being attended to starting from in flight food, beverages, lighting, neck support pillow etc. Flight inspite of starting late due to reasons beyond Vistara's control was more or less on time when it landed at Kolkata Airport. Seats were very comfortable compared to others in economy class & good legspace. Baggage delivery was bit of a delay for 3-4 minutes at Kolkata but otherwise a great journey. It truly maintains and exceeds the quality of service and authenticity of Tata group."
parasbatla wrote a review May 2018,50,New Delhi - Amritsar,Domestic,"New Delhi - Amritsar
Domestic
Economy",FLYING WITHIN INDIA-----PREFER VISTARA,"extra comfort
extra luxury---extra leg room--free meals----clean & comfortable seats----service on all sectors within india----good initiative by TATA--loved vistara& recommend vistara.

apart from this dont ever prefer indigo airline on any sector in INDIA"
manjusampat wrote a review May 2018,40,New Delhi - Srinagar,Domestic,"New Delhi - Srinagar
Domestic
Economy",Very nice experience,Clean aircraft and great service. It was a smooth flight and it departed and reached Srinagar on time. The cabin crew were also very helpful.
Priyanka Kwatra wrote a review May 2018,40,New Delhi - Goa,Domestic,"New Delhi - Goa
Domestic
Economy",Excellent Experience,"Comfortable seating, good food and excellent service. Vistara is a great addition in air travel. The domestic flights are priced well."
Ravikumar R wrote a review May 2018,50,Chennai - Port Blair,Domestic,"Chennai - Port Blair
Domestic
Economy",Good,"Seats are comfortable,complimentary food is hot and good.Staff are helpful.Overall nice local airline"
VIJAY NAHTA wrote a review May 2018,50,New Delhi - Ahmedabad,Domestic,"New Delhi - Ahmedabad
Domestic
Economy",FLY DIFFERRENTLY,"I Have Fly ALL AIRLINES IN INDIA AND FOREIGNE AIRLINES but experienced in VISTARA IS DIFFERRENT FROM ALL.Warm welcoming BY AIR HOSTES AND spacious seating arrangement in all class even economy is comfort to travel
short to medium haul travel.specially food they serve is very very good quality i had never been this kind of freshness food in any airline.definately one day worlds best airline in all aspects in near future you will see.
Vistara have all brand new aircraft.
i fly my way in vistara"
dranilmodi wrote a review May 2018,30,Ahmedabad - Bengaluru,Domestic,"Ahmedabad - Bengaluru
Domestic
Economy",Ahmedabad Bangalore,"Took this flight with high hopes since since belongs to Tata and SAL.
But didnt find much difference between this and other low cost airlines."
jetzt2017 wrote a review May 2018,50,New Delhi - Hyderabad,Domestic,"New Delhi - Hyderabad
Domestic
Premium Economy",Vistara is only Excellent service provider for Domestic travel,I recommend Vistara to each and everyone. I am a frequent flyer with Vistara since it was launched. Plan your trip well in advance to get the best deal.
Diana G wrote a review May 2018,50,Chandigarh - Chennai,Domestic,"Chandigarh - Chennai
Domestic
Premium Economy",Seven flights in one month,"Vistara airline is top notch. Every one of my seven flights was pleasant. I flew to Chennai, Port Blair, Delhi, return and connecting to international flights. The ground personnel as well as the flight crew were very accommodating and kind. The amenities were great. Every flight but one we were able to upgrade for a very reasonable cost. Highly recommend."
AnimeshRay wrote a review May 2018,50,Kolkata - New Delhi,Domestic,"Kolkata - New Delhi
Domestic
Premium Economy",Hospitality at Height,"A great flight with high taste at such a height. Premium economy has good leg room and they provide a excellent level of hospitality.

Magazine is also good to read and they provide newspaper.

I recommend this flight."
jigarbhatia wrote a review May 2018,30,Srinagar - Mumbai,Domestic,"Srinagar - Mumbai
Domestic
Economy",Vistara Airline,Good Experience. Flight was comfortable and good legroom and little spacious as well. Meal was good.
